product_name,brands,categories,quantity,serving_size,energy_100g,fat_100g,sugars_100g,proteins_100g,nutrition_grade_fr,countries,last_modified_datetime,code,packaging
Protein Bar,GreenValley,BEVERAGES,100ml,100 g,199.3375370480854,11.2,50.7,22.9,unknown,United States,15 Jan 2024,1507954820162,PLASTIC
Granola Cereal,OrganicLife,Dairy,,about 100g,136.2684421946291,1.5,12.9,10.2,A,us,January 15 2024,3736120120736,PLASTIC
Chocolate Bar,organic life,,2 tbsp,,253.1184914846448,5.7,17.0,14.6,e,France,01-15-2024,1964646755408,Plastic
Almond Butter,GreenValley,dairy products,100 g,100g,393.2829601047066,26.6,33.5,10.6,B,France,15 Jan 2024,,plastic
Peanut Butter,organic life,,0.1 kg,100 g,869.9177250194823,47.4,41.4,13.1,b,United States,15 Jan 2024,2385229871313,
Olive Oil,FreshFarm,Beverages,,,700.8431240986584,47.9,8.9,7.7,c,FR,"Jan 15, 2024",9162560078873,
Peanut Butter,HealthyChoice,dairy products,100 grams,2 tbsp,-1,39.8,21.1,,,France,2024-01-15,2349852717421,plastic
Coconut Water,NatureCo,,,about 100g,548.4551923223572,47.9,48.7,29.5,b,,15/01/2024,,
Coconut Water,HealthyChoice,BEVERAGES,1 cup,1 cup,614.2189712980272,trace,,11.6,e,FR,January 15 2024,3489636256681,cardboard box
Frozen Pizza,FreshFarm,BEVERAGES,,1 cup,302.3441332856898,35.1,59.8,2.8,B,,January 15 2024,,Cardboard
Almond Butter,PureEats,snacks,100 grams,100 grams,,27.0,31.6,26.3,unknown,FR,2024-13-45,4178972645504,PLASTIC
Chocolate Bar,PureEats,,,0.1 kg,707.58231989701,12.0,47.1,5.8,unknown,,,7720670868228,
Almond Butter,GreenValley,Snacks,about 100g,2 tbsp,503.5412634277438,,45.8,27.2,c,Germany,"Jan 15, 2024",8297263983507,Plastic
Tomato Sauce,HealthyChoice,snacks,100g,100ml,756.866895974329,39.6,17.2,20.9,c,,,2395460032199,Plastic
Orange Juice,  freshfarm,,100 g,0.1 kg,118.4450271911696,31.9,3.8,15.0,,France,,3528526894450,Cardboard
Apple Cider,OrganicLife,Beverages,,100ml,unknown,39.3,1.2,1.3,B,USA,2024/01/15,7064783988039,Glass
Whole Wheat Bread,HealthyChoice,Dairy,100g,100ml,734.0228903449184,39.0,41.7,24.3,b,,2024-01-15,6549277731086,Cardboard
Dark Chocolate,organic life,snacks,0.1 kg,100ml,52.545590479377324,13.7,26.2,13.2,B,USA,15/01/2024,7461767659875,Cardboard
Peanut Butter,,,3.5 oz,100 grams,14.934888142848266,38.5,25.5,28.7,,,2024-01-15,9027815107446,PLASTIC
Olive Oil,GreenValley,BEVERAGES,2 tbsp,,158.31384713866316,22.4,54.7,13.0,a,france,15 Jan 2024,3816121625216,Plastic
Apple Cider,OrganicLife,Beverages,3.5 oz,about 100g,350.74041750301217,30.3,56.9,22.9,unknown,FR,,5390653539963,plastic
,  freshfarm,Beverages,0.1 kg,0.1 kg,200.96767862711056,34.7,12.0,2.2,c,,"Jan 15, 2024",6626349496376,cardboard box
Dark Chocolate,OrganicLife,Dairy,100ml,,886.767966589872,11.8,21.7,14.0,,FR,2024-13-45,6437710982713,
Pasta Sauce,NATURECO,Beverages,100 grams,100ml,410.4773011400665,17.2,46.8,5.5,c,Germany,,6347891479944,PLASTIC
Brown Rice,GreenValley,Beverages,0.1 kg,3.5 oz,500.24885977999435,15.1,30.2,28.2,c,FR,2024-13-45,6938243854895,Plastic
Organic Oat Milk,NATURECO,BEVERAGES,about 100g,3.5 oz,380.7622374602891,24.9,17.4,14.5,B,us,,3779101165048,
Green Tea,HealthyChoice,dairy products,100,100ml,126.38187488162396,28.1,28.0,7.4,b,France,2024/01/15,5365482647779,PLASTIC
Peanut Butter,OrganicLife,,,2 tbsp,284.6010290284421,-,58.0,10.6,a,us,,9279290433393,Cardboard
Whole Wheat Bread,HealthyChoice,,100ml,100g,517.5506630541161,27.7,,8.4,unknown,france,15/01/2024,7564401831871,cardboard box
Tomato Sauce,  freshfarm,,,100g,,40.2,8.9,4.2,unknown,USA,15/01/2024,6264953885332,cardboard box
Coconut Water,GreenValley,,100g,100ml,107.54808464727728,15.4,52.3,17.9,e,United States,2024-01-15,7690876865180,PLASTIC
Cheddar Cheese,PureEats,Dairy,2 tbsp,1 cup,833.5981498628838,11.0,46.1,,A,Germany,2024/01/15,6535001295567,Glass
Green Tea,PureEats,,,,786.8077609319652,3.1,12.4,19.9,,Germany,January 15 2024,7023833912293,cardboard box
Sparkling Water,PureEats,BEVERAGES,,0.1 kg,875.8904585556064,14.5,42.3,10.5,e,us,"Jan 15, 2024",7681007132337,
Orange Juice,FreshFarm,dairy products,2 tbsp,about 100g,436.38054408467,26.9,41.8,18.5,unknown,United States,01-15-2024,1924417994053,plastic
Pasta Sauce,NatureCo,Dairy,1 cup,about 100g,791.7756631476632,10.0,19.3,27.2,b,United States,,4083449238559,
Cheddar Cheese,,,100 grams,100,834.1753311278343,0.5,6.4,8.5,,,,9235617883384,Cardboard
Whole Wheat Bread,organic life,BEVERAGES,100,100 grams,N/A,28.4,10.5,26.9,B,,January 15 2024,2677911677461,PLASTIC
Pasta Sauce,GreenValley,,3.5 oz,2 tbsp,859.0909921628722,36.1,12.3g,1.9,b,,2024/01/15,9841989358937,Cardboard
Granola Cereal,OrganicLife,,100 grams,2 tbsp,549.1076637992717,27.5,32.3,6.6,d,france,,7363869217878,plastic
Orange Juice,  freshfarm,,100 g,0.1 kg,118.4450271911696,31.9,3.8,15.0,,France,,3528526894450,Cardboard
Almond Butter,HealthyChoice,,100 g,about 100g,529.0014338125056,-,27.2,13.7,a,,,7962235490213,Cardboard
Almond Butter,HealthyChoice,Beverages,,100g,71.42704008267927,1.6,46.1,29.3,B,USA,15 Jan 2024,7607281035732,plastic
Dark Chocolate,FreshFarm,Dairy,,1 cup,657.793745406454,0.2,12.3g,21.6,B,,15 Jan 2024,9101371376371,cardboard box
Almond Butter,FreshFarm,Snacks,about 100g,1 cup,843.2517580430462,12.0,,20.2,a,United States,2024-01-15,3461258685911,Cardboard
Peanut Butter,organic life,dairy products,3.5 oz,0.1 kg,887.269049045362,20.7,33.4,22.1,c,Germany,,7060079842139,
Olive Oil,GreenValley,,100 grams,,765.913429711436,35.4,54.9,29.0,,,15/01/2024,4574507988230,cardboard box
Green Tea,PureEats,Snacks,0.1 kg,1 cup,546.6006200402775,9.4,43.5,14.4,A,us,2024-01-15,3064768913840,
Apple Cider,PureEats,dairy products,0.1 kg,1 cup,587.3619925956502,18.0,28.0,21.7,A,United States,January 15 2024,4894951586328,PLASTIC
,,BEVERAGES,100 grams,3.5 oz,348.0573995196272,25.0,41.1,24.6,,,15/01/2024,3977924921266,PLASTIC
Pasta Sauce,organic life,Snacks,,100g,76.15406618429283,2.4,"0,5",6.9,c,France,01-15-2024,2062459806909,
Orange Juice,  freshfarm,,100 g,0.1 kg,118.4450271911696,31.9,3.8,15.0,,France,,3528526894450,Cardboard
Organic Oat Milk,GreenValley,Snacks,,100,727.4892520632117,5.4,"0,5",18.6,e,USA,2024/01/15,7563049413375,
Brown Rice,organic life,Beverages,about 100g,about 100g,93.21544983012738,27.6,,2.5,B,USA,2024-13-45,2679219855307,Plastic
Peanut Butter,FreshFarm,BEVERAGES,,,169.62550786586147,0.8,8.7,24.6,b,us,15/01/2024,7845531229952,cardboard box
Orange Juice,FreshFarm,dairy products,100g,100 g,756.4204452757257,38.5,23.8,0.9,e,,,8595114625995,PLASTIC
Frozen Pizza,PureEats,Beverages,100 g,0.1 kg,643.3926677529689,37.0,6.4,,,USA,2024/01/15,4294614854793,
Dark Chocolate,FreshFarm,dairy products,,100 g,708.1504645849986,0.6,46.8,16.8,d,,15/01/2024,3440269428604,Cardboard
Pasta Sauce,GreenValley,,0.1 kg,2 tbsp,331.40117193768,36.0,37.0,4.1,a,Germany,January 15 2024,6797613995870,
Apple Cider,PureEats,,100ml,100 grams,872.165447354559,34.7,34.6,11.3,B,USA,"Jan 15, 2024",9120611547066,Glass
Granola Cereal,,,100 grams,about 100g,234.88669958867158,21.2,26.9,17.5,,,15 Jan 2024,2920215375951,Glass
Tomato Sauce,NATURECO,,100ml,1 cup,,25.5,34.8,13.4,B,,2024-13-45,7065141266509,Plastic
Granola Cereal,FreshFarm,Dairy,100ml,0.1 kg,708.0002978005404,17.4,,9.0,b,France,January 15 2024,6820368463713,
Brown Rice,OrganicLife,,1 cup,100g,795.9566632331814,21.5,"0,5",22.6,b,france,,4467438702413,
Pasta Sauce,NATURECO,,,1 cup,319.6529273187114,30.9,42.4,18.4,b,FR,January 15 2024,3058600931925,PLASTIC
Orange Juice,OrganicLife,,1 cup,100 grams,488.26755029823846,46.5,10.0,5.6,,France,January 15 2024,3402968097949,Glass
Dark Chocolate,organic life,,1 cup,100,444.94256562632023,,13.2,,,us,15/01/2024,2990763753032,plastic
Dark Chocolate,NatureCo,,,3.5 oz,101.15063060097349,37.6,60.0,10.5,b,,"Jan 15, 2024",4690394582833,cardboard box
Apple Cider,OrganicLife,snacks,3.5 oz,100g,483.7299096596663,8.4,17.6,28.6,,france,15/01/2024,8240394411108,Plastic
Orange Juice,OrganicLife,dairy products,3.5 oz,about 100g,136.53275343707736,31.4,4.5,23.1,B,,2024/01/15,7493463633627,
Olive Oil,FreshFarm,,about 100g,about 100g,766.5945534137212,19.9,49.5,9.7,e,USA,,1807661767842,plastic
Granola Cereal,FreshFarm,Dairy,100ml,0.1 kg,708.0002978005404,17.4,,9.0,b,France,January 15 2024,6820368463713,
Green Tea,,snacks,100,100 grams,278.6602988950158,43.8,12.3g,11.2,c,France,15 Jan 2024,5122117334273,
Dark Chocolate,organic life,,1 cup,100,444.94256562632023,,13.2,,,us,15/01/2024,2990763753032,plastic
Peanut Butter,NatureCo,Snacks,100,100ml,889.457869423202,6.6,,,b,USA,January 15 2024,7730802718663,PLASTIC
Apple Cider,HealthyChoice,snacks,100,100 g,,49.3,52.0,13.6,A,FR,January 15 2024,5697277634980,plastic
Cheddar Cheese,organic life,Dairy,1 cup,,775.3666468959135,,7.4,10.5,B,USA,15/01/2024,2484532341404,Glass
Apple Cider,NatureCo,BEVERAGES,3.5 oz,,177.8954057066205,32.3,47.6,11.6,d,,2024-13-45,3320641579542,
Peanut Butter,OrganicLife,,100 g,100g,22.27614889550876,46.1,23.9,21.4,B,Germany,15 Jan 2024,3687000461955,Cardboard
Greek Yogurt,OrganicLife,dairy products,1 cup,,752.7285575744299,3.3,43.8,1.7,b,Germany,"Jan 15, 2024",1968982556881,Cardboard
Cheddar Cheese,NatureCo,Dairy,2 tbsp,100ml,706.8585203739339,8.3,46.9,26.6,a,USA,15 Jan 2024,5625954105896,plastic
Coconut Water,NATURECO,Dairy,100ml,100 grams,101.58537436946395,36.1,30.5,,d,France,,3641062262668,PLASTIC
Chocolate Bar,organic life,,3.5 oz,100ml,825.1107407439965,41.3,7.2,1.6,d,,2024-01-15,6466826988627,cardboard box
Almond Butter,HealthyChoice,Beverages,about 100g,100ml,880.2798512123217,19.9,7.3,13.6,d,France,2024-01-15,4610197372591,plastic
Granola Cereal,HealthyChoice,,3.5 oz,100,686.8291760863099,0.3,14.0,25.2,a,USA,2024-01-15,2826681848957,Glass
Brown Rice,OrganicLife,BEVERAGES,100 g,100g,808.5858500189987,35.0,58.5,,,FR,15 Jan 2024,2097655431963,
Orange Juice,HealthyChoice,,100,100,412.95448856086074,47.2,46.2,3.2,,,January 15 2024,7303018801651,Glass
Green Tea,OrganicLife,BEVERAGES,100,100,201.3685026315825,7.4,58.1,1.5,e,us,15/01/2024,,
Dark Chocolate,,Beverages,100 grams,100 g,,41.2,37.8,17.5,e,france,2024-01-15,8802435102135,PLASTIC
Olive Oil,NatureCo,Dairy,,1 cup,361.5488325175083,-,12.9,8.4,c,France,2024-13-45,9775885652767,
Apple Cider,OrganicLife,Beverages,,100ml,unknown,39.3,1.2,1.3,B,USA,2024/01/15,7064783988039,Glass
Protein Bar,  freshfarm,snacks,about 100g,,890.5692180277651,18.0,29.1,15.1,B,us,15/01/2024,,Glass
,,dairy products,,3.5 oz,99.11956020141224,13.3,55.0,,unknown,Germany,January 15 2024,4097417507919,Glass
TOMATO SAUCE,HealthyChoice,Dairy,,3.5 oz,731.2570351708491,27.1,2.3,high,d,France,,4545985707958,PLASTIC
Cheddar Cheese,HealthyChoice,Snacks,100g,100 grams,826.3294912581955,42.3,57.6,28.3,B,france,January 15 2024,8687771100246,
Cheddar Cheese,NATURECO,dairy products,3.5 oz,about 100g,166.06295069129652,34.4,43.7,28.5,B,France,15/01/2024,2832085087916,
Greek Yogurt,OrganicLife,Beverages,100,about 100g,799.1216285438613,13.3,4.1,3.2,a,France,15 Jan 2024,9673317169382,
Frozen Pizza,NATURECO,snacks,100 grams,2 tbsp,,15.9,4.5,11.3,b,,"Jan 15, 2024",9494986721389,Plastic
Cheddar Cheese,NatureCo,Beverages,100ml,3.5 oz,374.25908051807477,46.3,39.6,2.9,B,,,1065974257876,
Apple Cider,PureEats,Dairy,about 100g,0.1 kg,431.4778795164412,-,53.7,19.3,B,FR,January 15 2024,4282941582225,
,GreenValley,Snacks,100 grams,100,86.27950753752621,27.1,35.4,25.2,,Germany,,9353438065159,Glass
Greek Yogurt,NatureCo,Dairy,100 g,2 tbsp,886.0875113217282,40.4,25.4,13.1,c,us,January 15 2024,2529296171527,
Dark Chocolate,,Snacks,100,,705.7002382236608,,35.3,28.2,b,france,2024/01/15,7051094107173,
Pasta Sauce,OrganicLife,BEVERAGES,1 cup,100 grams,615.9234482598193,19.8,41.4,,e,USA,2024-01-15,6333463123973,Cardboard
Pasta Sauce,PureEats,Dairy,0.1 kg,100,744.982765283978,20.8,11.3,24.7,,,January 15 2024,2151734016795,Cardboard
Frozen Pizza,NATURECO,Snacks,100 grams,3.5 oz,188.64683072946403,,55.1,8.2,,,15 Jan 2024,5252148890957,cardboard box
Green Tea,NATURECO,dairy products,100ml,100 grams,240.20733517837076,4.5,,17.2,d,United States,01-15-2024,9336569738080,PLASTIC
Apple Cider,NATURECO,BEVERAGES,100,100,387.18805258706095,17.4,28.0,24.7,B,france,2024-01-15,5971893011753,Cardboard
Orange Juice,  freshfarm,,100 g,0.1 kg,118.4450271911696,31.9,3.8,15.0,,France,,3528526894450,Cardboard
Sparkling Water,organic life,BEVERAGES,3.5 oz,100 grams,223.86884913386004,-,40.8,19.7,e,us,15 Jan 2024,1621639530904,Glass
Brown Rice,,dairy products,,0.1 kg,758.168438190796,9.1,"0,5",21.8,,FR,January 15 2024,7250131987239,Glass
Granola Cereal,HealthyChoice,BEVERAGES,,0.1 kg,114.82550940496876,,11.7,20.4,,us,15 Jan 2024,3653663753513,PLASTIC
Olive Oil,,Dairy,100ml,100,81.92220556696462,49.3,3.5,6.3,c,FR,,2549537237858,PLASTIC
Protein Bar,,Snacks,100g,,342.0602508303602,trace,31.9,,d,United States,January 15 2024,7747834750470,Cardboard
Chocolate Bar,  freshfarm,dairy products,1 cup,about 100g,315.03222693922834,18.0,56.9,12.1,d,United States,15/01/2024,3974284753464,plastic
Chocolate Bar,  freshfarm,Snacks,,100g,591.6751803766698,,22.8,14.2,c,United States,2024-01-15,2776663320982,Cardboard
Orange Juice,  freshfarm,Beverages,0.1 kg,100 g,452.9877662419939,38.9,58.4,12.3,c,France,,9456503377070,cardboard box
Organic Oat Milk,NATURECO,,100 grams,100 g,76.79291012862038,45.2,27.4,7.9,a,france,15/01/2024,6114671462482,cardboard box
Olive Oil,NatureCo,Snacks,100 grams,about 100g,302.5081352010323,47.8,44.0,10.3,b,Germany,15 Jan 2024,9413199572185,
Cheddar Cheese,NatureCo,Dairy,100 g,1 cup,439.58061698090773,21.9,46.7,25.9,c,,,8754182421733,Plastic
Organic Oat Milk,NATURECO,,100 grams,100 g,76.79291012862038,45.2,27.4,7.9,a,france,15/01/2024,6114671462482,cardboard box
Peanut Butter,organic life,dairy products,,,560.2327242848686,36.3,39.8,4.5,,France,2024-01-15,9891256300656,
Orange Juice,OrganicLife,dairy products,3.5 oz,about 100g,136.53275343707736,31.4,4.5,23.1,B,,2024/01/15,7493463633627,
Olive Oil,PureEats,,1 cup,3.5 oz,-1,22.4,26.8,14.9,a,france,15 Jan 2024,9025882869398,cardboard box
Chocolate Bar,HealthyChoice,,100,about 100g,412.7538859954535,,12.3g,28.9,e,,,1803615534873,PLASTIC
Protein Bar,PureEats,Beverages,1 cup,3.5 oz,705.4641592473916,5.4,55.6,17.7,,,2024-13-45,1075156896741,Plastic
Protein Bar,  freshfarm,Dairy,100,,735.5672971476598,trace,23.1,27.5,d,us,15 Jan 2024,6175308854291,
Orange Juice,  freshfarm,BEVERAGES,100,,643.5681771916791,31.6,37.5,10.4,c,FR,,6672092198488,plastic
Dark Chocolate,organic life,,about 100g,100,485.17349529620924,21.1,,,a,France,01-15-2024,3833757283142,Cardboard
Orange Juice,GreenValley,snacks,,100g,412.8091090262472,33.8,13.5,11.7,,us,2024-01-15,8328878741525,cardboard box
Coconut Water,HealthyChoice,BEVERAGES,1 cup,1 cup,614.2189712980272,trace,,11.6,e,FR,January 15 2024,3489636256681,cardboard box
Green Tea,organic life,dairy products,,,184.85748276688605,9.7,59.0,,,france,15 Jan 2024,,Cardboard
Orange Juice,NatureCo,dairy products,2 tbsp,100,45.54712449607257,29.8,37.5,9.0,unknown,,January 15 2024,6590791921259,Glass
Dark Chocolate,organic life,,1 cup,100,444.94256562632023,,13.2,,,us,15/01/2024,2990763753032,plastic
Dark Chocolate,PureEats,snacks,about 100g,100ml,271.2811778814814,30.9,33.7,19.5,b,USA,,6647390908366,
Whole Wheat Bread,GreenValley,Snacks,,100ml,462.774677772415,14.8,19.2,,c,,,,plastic
Almond Butter,FreshFarm,snacks,,100,669.8237810278981,40.8,"0,5",high,A,France,"Jan 15, 2024",5006438347998,Cardboard
Green Tea,NatureCo,,about 100g,100 g,580.8662443686593,37.8,42.1,high,b,us,2024/01/15,8700561501459,
Organic Oat Milk,OrganicLife,,,0.1 kg,138.22722833804997,45.7,43.8,28.5,,,15/01/2024,7934639828976,plastic
Tomato Sauce,  freshfarm,Dairy,100 grams,100 grams,752.9260465125752,9.1,51.1,28.0,,,,2184000872598,Cardboard
Peanut Butter,OrganicLife,snacks,100 g,0.1 kg,811.1055458502004,22.5,18.3,17.0,A,USA,15 Jan 2024,5330672281624,Glass
Protein Bar,organic life,dairy products,2 tbsp,2 tbsp,699.5425957580647,5.4,4.9,24.8,,United States,2024/01/15,2347016071293,plastic
Coconut Water,NATURECO,,,3.5 oz,500.9186586882809,49.9,46.5,6.7,unknown,us,15/01/2024,2591330102342,
Organic Oat Milk,NATURECO,Dairy,,100 grams,169.4392136786725,33.0,44.2,10.8,d,,01-15-2024,5116165381600,Plastic
